Source,Target,weight,when_start,when_end
college & research libraries,journal of documentation,0.08111071056538126,1960,1965
college & research libraries,library quarterly,0.027226638505866502,1960,1965
college & research libraries,library resources & technical services,0.11842105263157893,1960,1965
college & research libraries,library trends,0.03829509868994731,1960,1965
journal of documentation,library resources & technical services,0.0324442842261525,1960,1965
journal of documentation,library trends,0.007868894753646338,1960,1965
law library journal,library resources & technical services,0.03627381250550058,1960,1965
law library journal,library trends,0.017595383576944672,1960,1965
library quarterly,library resources & technical services,0.08167991551759951,1960,1965
library quarterly,library trends,0.14527545532848973,1960,1965
library resources & technical services,library trends,0.12126781251816647,1960,1965
college & research libraries,journal of documentation,0.011809742331947863,1965,1970
college & research libraries,law library journal,0.009240660390759298,1965,1970
college & research libraries,library quarterly,0.08713275902148193,1965,1970
college & research libraries,library resources & technical services,0.04621292663923655,1965,1970
college & research libraries,library trends,0.06766558193760629,1965,1970
journal of documentation,law library journal,0.013041013273932527,1965,1970
journal of documentation,library quarterly,0.08197822947299413,1965,1970
journal of documentation,library resources & technical services,0.037267799624996496,1965,1970
journal of documentation,library trends,0.009094667994973339,1965,1970
law library journal,library quarterly,0.025657900289539272,1965,1970
library quarterly,library resources & technical services,0.018330889377669163,1965,1970
library quarterly,library trends,0.02684033207541431,1965,1970
library resources & technical services,library trends,0.005084073967388026,1965,1970
college & research libraries,journal of documentation,0.04027525989740533,1970,1975
college & research libraries,law library journal,0.06335255098884479,1970,1975
college & research libraries,library quarterly,0.07244629851465367,1970,1975
college & research libraries,library resources & technical services,0.021606790785072147,1970,1975
college & research libraries,library trends,0.12275217392779177,1970,1975
journal of documentation,law library journal,0.006325694047760047,1970,1975
journal of documentation,library quarterly,0.03959496970600277,1970,1975
journal of documentation,library resources & technical services,0.025889018653924886,1970,1975
journal of documentation,library trends,0.07165450625379491,1970,1975
law library journal,library quarterly,0.04311862741987243,1970,1975
law library journal,library resources & technical services,0.05090393514846051,1970,1975
law library journal,library trends,0.04449148747944638,1970,1975
library quarterly,library resources & technical services,0.024509803921568627,1970,1975
library quarterly,library trends,0.04927121157874201,1970,1975
library resources & technical services,library trends,0.048557136048615314,1970,1975
college & research libraries,information processing & management,0.026122457683452574,1975,1980
college & research libraries,journal of academic librarianship,0.016155847834440386,1975,1980
college & research libraries,journal of documentation,0.029685323980877733,1975,1980
college & research libraries,law library journal,0.028785546375871263,1975,1980
college & research libraries,library and information science,0.02721135658046466,1975,1980
college & research libraries,library quarterly,0.06324962942194605,1975,1980
college & research libraries,library resources & technical services,0.09750213288248546,1975,1980
college & research libraries,library trends,0.09980530677088804,1975,1980
college & research libraries,scientometrics,0.007054723704854005,1975,1980
college & research libraries,zeitschrift fur bibliothekswesen und bibliographie,0.013463206528700325,1975,1980
information processing & management,journal of academic librarianship,0.008084520834544433,1975,1980
information processing & management,journal of documentation,0.18350026551384158,1975,1980
information processing & management,journal of information science,0.017236256333167305,1975,1980
information processing & management,law library journal,0.014404527190048097,1975,1980
information processing & management,library and information science,0.051062960637854184,1975,1980
information processing & management,library quarterly,0.08018162496124089,1975,1980
information processing & management,library resources & technical services,0.032527252991353256,1975,1980
information processing & management,library trends,0.023782574707724706,1975,1980
information processing & management,mis quarterly,0.0033685503477268466,1975,1980
information processing & management,scientometrics,0.014120970030991201,1975,1980
journal of academic librarianship,library quarterly,0.01043991501943761,1975,1980
journal of academic librarianship,library resources & technical services,0.012379689211803458,1975,1980
journal of academic librarianship,library trends,0.023533936216582084,1975,1980
journal of documentation,journal of information science,0.036869883038546866,1975,1980
journal of documentation,library and information science,0.040050342814610715,1975,1980
journal of documentation,library quarterly,0.040622119738953424,1975,1980
journal of documentation,library resources & technical services,0.024084928687475093,1975,1980
journal of documentation,library trends,0.015261911824935984,1975,1980
journal of documentation,scientometrics,0.025171674142856027,1975,1980
journal of information science,library trends,0.016724840200141814,1975,1980
journal of information science,scientometrics,0.03723907684645208,1975,1980
law library journal,library and information science,0.015004971220211456,1975,1980
law library journal,library quarterly,0.01395092326777534,1975,1980
law library journal,library resources & technical services,0.011028703710788115,1975,1980
law library journal,library trends,0.013977131156292243,1975,1980
library and information science,library quarterly,0.03516797795756236,1975,1980
library and information science,library resources & technical services,0.020851158103853486,1975,1980
library and information science,library trends,0.04954787398762882,1975,1980
library and information science,scientometrics,0.029419188303921547,1975,1980
library quarterly,library resources & technical services,0.09693217750370751,1975,1980
library quarterly,library trends,0.09827691766959282,1975,1980
library quarterly,mis quarterly,0.0043499645914323384,1975,1980
library quarterly,scientometrics,0.012156707048169848,1975,1980
library quarterly,zeitschrift fur bibliothekswesen und bibliographie,0.017399858365729354,1975,1980
library resources & technical services,library trends,0.06069642006076915,1975,1980
library resources & technical services,scientometrics,0.003603866861346119,1975,1980
library trends,scientometrics,0.006850993704034832,1975,1980
college & research libraries,information processing & management,0.011949767845005326,1980,1985
college & research libraries,information technology and libraries,0.0048412670053054946,1980,1985
college & research libraries,journal of academic librarianship,0.10154766714214053,1980,1985
college & research libraries,journal of documentation,0.01787951694265358,1980,1985
college & research libraries,journal of information science,0.005759526134898491,1980,1985
college & research libraries,law library journal,0.025495296750747846,1980,1985
college & research libraries,library and information science,0.025424770206925063,1980,1985
college & research libraries,library quarterly,0.07907057021588165,1980,1985
college & research libraries,library resources & technical services,0.04152918461074626,1980,1985
college & research libraries,library trends,0.07609861743341632,1980,1985
college & research libraries,mis quarterly,0.0027700645038151645,1980,1985
college & research libraries,scientometrics,0.01768243473084876,1980,1985
college & research libraries,zeitschrift fur bibliothekswesen und bibliographie,0.03923643381938139,1980,1985
electronic library,information technology and libraries,0.04279604925109128,1980,1985
electronic library,law library journal,0.0563436169819011,1980,1985
government information quarterly,information processing & management,0.004972540377145176,1980,1985
government information quarterly,information technology and libraries,0.07252377242938948,1980,1985
government information quarterly,journal of academic librarianship,0.02001601922563589,1980,1985
government information quarterly,journal of documentation,0.008370032682530422,1980,1985
government information quarterly,law library journal,0.04774099160262886,1980,1985
government information quarterly,library & information science research,0.07161148740394328,1980,1985
government information quarterly,library quarterly,0.01910488959083368,1980,1985
government information quarterly,library resources & technical services,0.03888255298906267,1980,1985
government information quarterly,library trends,0.03053524082762296,1980,1985
information & management,information processing & management,0.02749594517313999,1980,1985
information & management,information technology and libraries,0.0501280411827603,1980,1985
information & management,journal of academic librarianship,0.003952847075210474,1980,1985
information & management,journal of information science,0.056796183424706485,1980,1985
information & management,library & information science research,0.01414213562373095,1980,1985
information & management,library trends,0.008040302522073696,1980,1985
information & management,mis quarterly,0.1925800960361609,1980,1985
information & management,scientometrics,0.003736523194714872,1980,1985
information processing & management,information technology and libraries,0.04570952126524247,1980,1985
information processing & management,journal of academic librarianship,0.005822532131667534,1980,1985
information processing & management,journal of documentation,0.08278282736362359,1980,1985
information processing & management,journal of information science,0.08923798545653325,1980,1985
information processing & management,law library journal,0.02314591581792953,1980,1985
information processing & management,library and information science,0.03923921005156092,1980,1985
information processing & management,library quarterly,0.007409987121523042,1980,1985
information processing & management,library resources & technical services,0.027145647084525982,1980,1985
information processing & management,library trends,0.028621409831917535,1980,1985
information processing & management,mis quarterly,0.009053295185872877,1980,1985
information processing & management,scientometrics,0.05412156229555995,1980,1985
information technology and libraries,journal of academic librarianship,0.07784404609744094,1980,1985
information technology and libraries,journal of information science,0.030504443804328152,1980,1985
information technology and libraries,law library journal,0.05907646307988055,1980,1985
information technology and libraries,library & information science research,0.012659242088545831,1980,1985
information technology and libraries,library and information science,0.03366459565639123,1980,1985
information technology and libraries,library resources & technical services,0.09347999742059901,1980,1985
information technology and libraries,library trends,0.010795837927188261,1980,1985
information technology and libraries,mis quarterly,0.029342440684135582,1980,1985
journal of academic librarianship,journal of documentation,0.016334636671541145,1980,1985
journal of academic librarianship,journal of information science,0.01403166422084179,1980,1985
journal of academic librarianship,law library journal,0.02795084971874737,1980,1985
journal of academic librarianship,library & information science research,0.02096313728906053,1980,1985
journal of academic librarianship,library and information science,0.00929117682808958,1980,1985
journal of academic librarianship,library quarterly,0.03728437414199335,1980,1985
journal of academic librarianship,library resources & technical services,0.06981117135692835,1980,1985
journal of academic librarianship,library trends,0.03178208630818641,1980,1985
journal of academic librarianship,mis quarterly,0.016196588709793423,1980,1985
journal of documentation,journal of information science,0.11735149411559123,1980,1985
journal of documentation,library and information science,0.023311564452539194,1980,1985
journal of documentation,library quarterly,0.015591083651462785,1980,1985
journal of documentation,library resources & technical services,0.012692481332648347,1980,1985
journal of documentation,library trends,0.03488680154452332,1980,1985
journal of documentation,mis quarterly,0.00338643701622862,1980,1985
